product_id,month,units_sold,average_price,previous_sales,rolling_sales_3_month,product_category_name,product_weight_g,month_date
3003a2841d6a775095317139ed2f7943,2018-03-01,1,56.89,,2.0,utilidades_domesticas,1205.0,2018-03-01
3006b8f5b476750a03137c1b2755cea1,2018-03-01,1,126.12,,,informatica_acessorios,100.0,2018-03-01
30469bb5ea377eae7121981e2f0778e4,2017-03-01,1,113.0,,,esporte_lazer,5950.0,2017-03-01
30469bb5ea377eae7121981e2f0778e4,2017-12-01,1,139.9,1.0,1.0,esporte_lazer,5950.0,2017-12-01
305a8467a383809ecce974a852d55ae3,2017-10-01,1,199.0,,1.0,relogios_presentes,400.0,2017-10-01
305cf3d6eaf7d2339acabcbacd5e3142,2018-02-01,1,260.0,,1.0,esporte_lazer,6350.0,2018-02-01
306e3f4a01df9f621c3b841e21f4018b,2018-01-01,2,160.0,,,informatica_acessorios,1133.0,2018-01-01
308a7360ee2e0ecfb6aa7708428692af,2018-02-01,1,25.9,,,eletronicos,150.0,2018-02-01
30ac6df06dc59ad72cf2f158fc2d904c,2018-01-01,1,94.0,,,utilidades_domesticas,16550.0,2018-01-01
30ac6df06dc59ad72cf2f158fc2d904c,2018-03-01,1,120.0,1.0,1.0,utilidades_domesticas,16550.0,2018-03-01
30ac6df06dc59ad72cf2f158fc2d904c,2018-04-01,2,120.0,1.0,1.0,utilidades_domesticas,16550.0,2018-04-01
30ad9d2c8a8e788a606a6c23e07260a9,2017-12-01,1,24.9,,1.0,informatica_acessorios,300.0,2017-12-01
30b159b653b87754d7a38446c7ef4669,2017-09-01,1,13.3,,1.0,fashion_bolsas_e_acessorios,200.0,2017-09-01
30b6868bde148b4c71716da3f1cdd9e3,2017-04-01,1,59.9,,,bebes,600.0,2017-04-01
30b74394f33d50a2af1047ee1cfd5705,2017-03-01,1,15.9,,,eletronicos,400.0,2017-03-01
30c01cc81c9eb80469371743813789cc,2017-05-01,1,38.33,,,pet_shop,300.0,2017-05-01
30c687d22c1be52d2fdf233f0dcadf24,2017-11-01,1,143.99,,,beleza_saude,3600.0,2017-11-01
30d55419015a4d9c2ca68586923d5a9f,2017-10-01,1,44.5,,,utilidades_domesticas,300.0,2017-10-01
30f3fd0e7b5d822bcd4ec6611b1e2c91,2017-10-01,1,50.0,,,beleza_saude,850.0,2017-10-01
312deeb177508f3b29f7ea944719b267,2017-12-01,1,11.9,,,moveis_decoracao,200.0,2017-12-01
315affd5901833621c947264eb9f2588,2017-02-01,1,139.9,,,relogios_presentes,300.0,2017-02-01
31639956e7fac87ecfd9d608040638bd,2017-09-01,2,70.9,,,cool_stuff,5150.0,2017-09-01
31699327e8b1095210f7c48d91fc09f0,2018-03-01,1,74.9,,,cama_mesa_banho,1400.0,2018-03-01
31a2f42a87890f87d77daebdfabc182e,2017-07-01,2,149.0,,,brinquedos,1700.0,2017-07-01
31a550e5405c2f75ecd052b2106f1330,2017-07-01,1,629.0,,,cool_stuff,8100.0,2017-07-01
31aaae9f2af6869bff6b8cbbaf195e65,2017-06-01,1,76.0,,,utilidades_domesticas,1300.0,2017-06-01
31c1d1dfbb4b2730140b8bd9248bcd58,2017-03-01,1,24.9,,,cama_mesa_banho,200.0,2017-03-01
31c1d1dfbb4b2730140b8bd9248bcd58,2017-12-01,1,24.9,1.0,1.0,cama_mesa_banho,200.0,2017-12-01
31c1d1dfbb4b2730140b8bd9248bcd58,2018-01-01,1,24.9,1.0,1.0,cama_mesa_banho,200.0,2018-01-01
31c79131e883e5fd8c4c85fe9f7d2bb2,2017-11-01,1,24.99,,1.0,telefonia,250.0,2017-11-01
31c79131e883e5fd8c4c85fe9f7d2bb2,2017-12-01,1,24.99,1.0,1.0,telefonia,250.0,2017-12-01
31c79131e883e5fd8c4c85fe9f7d2bb2,2018-01-01,1,24.99,1.0,1.0,telefonia,250.0,2018-01-01
31c79131e883e5fd8c4c85fe9f7d2bb2,2018-02-01,1,24.99,1.0,1.0,telefonia,250.0,2018-02-01
31dbb0d1815bdc83c93f4b3472fa7c4d,2017-07-01,1,29.0,,1.0,unknown,300.0,2017-07-01
31ddb1ee64afc01b90d5025db261a737,2017-11-01,1,16.0,,1.0,automotivo,475.0,2017-11-01
31e3a259123f3ba71c572f0bc08d9e5b,2018-04-01,1,189.0,,,relogios_presentes,150.0,2018-04-01
31fd02b02c33827cbde22902cf80338c,2017-07-01,1,39.9,,,utilidades_domesticas,200.0,2017-07-01
3215010238fcd9cab6ba7d2b81a6973d,2018-01-01,2,28.99,,,market_place,200.0,2018-01-01
321fd48981c751663bc43487274e7609,2018-03-01,1,19.9,,,bebes,100.0,2018-03-01
32252579a719da7dd2ee115f07dfd03b,2017-05-01,1,335.9,,,informatica_acessorios,867.0,2017-05-01
3225c54bb2785c33f49f50398fcdb88c,2018-02-01,1,279.9,,,relogios_presentes,269.0,2018-02-01
3225c54bb2785c33f49f50398fcdb88c,2018-03-01,1,270.0,1.0,1.0,relogios_presentes,269.0,2018-03-01
3225c54bb2785c33f49f50398fcdb88c,2018-04-01,1,259.0,1.0,1.0,relogios_presentes,269.0,2018-04-01
322ecdda3eff7439376c27a5114fd114,2017-09-01,1,72.8,,1.0,ferramentas_jardim,400.0,2017-09-01
32442bee23baee10041f5a964cfcbd15,2018-04-01,1,199.9,,1.0,papelaria,800.0,2018-04-01
327f871cb112db4bbbbf9dfb390b7374,2017-11-01,1,11.97,,,automotivo,800.0,2017-11-01
329c661807f085964b1877bfeca6ff73,2017-11-01,1,149.99,,,moveis_decoracao,3250.0,2017-11-01
32a6743a58d26480b6aa3850856286ac,2017-12-01,1,69.9,,,brinquedos,662.0,2017-12-01
32a8448d1612773bcfd0c5a8dd235e4e,2017-11-01,1,39.9,,,relogios_presentes,700.0,2017-11-01
32ae70a1e852f24cddc353ef7d38ed0a,2017-04-01,1,59.9,,,moveis_decoracao,600.0,2017-04-01
32aeecc02aa5adcb7f75155a80a47836,2017-10-01,1,138.5,,,esporte_lazer,2152.0,2017-10-01
32bb152336c896d906a6344cdbe1993c,2018-01-01,1,230.0,,,moveis_decoracao,7350.0,2018-01-01
32bb152336c896d906a6344cdbe1993c,2018-03-01,1,230.0,1.0,1.0,moveis_decoracao,7350.0,2018-03-01
32cb082100ed973a2e3a6950214f8629,2017-05-01,1,889.9,,1.0,malas_acessorios,19200.0,2017-05-01
32d058f0f2989cd05c927c0f481a1e43,2018-03-01,1,179.49,,1.0,automotivo,550.0,2018-03-01
32e390b4e48d09326cac6e93679160aa,2017-07-01,1,218.9,,,brinquedos,1800.0,2017-07-01
33202a8e7a645388c41ed714203d7131,2017-02-01,1,149.9,,,alimentos,3350.0,2017-02-01
3344f3ccc35b04b81d8cc2aefabcbcdd,2018-02-01,1,499.99,,,bebes,7700.0,2018-02-01
3347f12bccb00487d0d9aec54dc1037d,2017-12-01,1,119.0,,,moveis_cozinha_area_de_servico_jantar_e_jardim,6450.0,2017-12-01
334995514673fb6bae67885458b52984,2017-05-01,1,13.99,,,utilidades_domesticas,250.0,2017-05-01
334995514673fb6bae67885458b52984,2017-09-01,1,16.55,1.0,1.0,utilidades_domesticas,250.0,2017-09-01
334995514673fb6bae67885458b52984,2018-04-01,1,18.75,1.0,1.0,utilidades_domesticas,250.0,2018-04-01
33731b575da5eeaa98cd7c30b2c5c2e0,2017-01-01,3,69.9,,1.0,ferramentas_jardim,700.0,2017-01-01
337c81a0f9e751b6cbdf56680a33c365,2017-05-01,1,26.33,,1.0,esporte_lazer,163.0,2017-05-01
33924b6ae648c8e31d519ffba03f161a,2018-02-01,1,69.9,,,automotivo,5100.0,2018-02-01
3394bd1ad2fa9278c9da6724fbe73c60,2018-02-01,1,39.9,,,alimentos_bebidas,650.0,2018-02-01
339dea747edd309d3de1cc833cd28137,2018-02-01,1,149.9,,,informatica_acessorios,1000.0,2018-02-01
